Page,Type,Content,X,Y,Width,Height,Style
"14","Text","仏滅 ",52.3002137513047,109.5,6.00000000000001,3,"六曜"
"14","Text","先負 ",52.3002137513047,77.5,6.00000000000002,3,"六曜"
"14","Text","先勝 ",52.5002137513047,45.5,6.00000000000001,3,"六曜"
"15","Text","大安",266.299999999917,141.5,6,3,"六曜"
"15","Text","仏滅 ",266.299999999917,109.5,6,3,"六曜"
"15","Text","先負 ",266.299999999917,77.5,6,3,"六曜"
"15","Text","友引 ",266.299999999917,45.5,6,3,"六曜"
"15","Text","赤口 ",266.300000000167,13.5013888888881,6,3,"六曜"
"15","Text","仏滅 ",231.299999999917,141.5,6,3,"六曜"
"15","Text","先負 ",231.299999999917,109.5,6,3,"六曜"
"15","Text","友引 ",231.165,77.5,6,3,"六曜"
"15","Text","先勝 ",231.299999999917,45.5,6,3,"六曜"
"15","Text","大安 ",231.300000000083,13.5,6,3,"六曜"
"15","Text","先負 ",196.3,141.5,6.00000000000006,3,"六曜"
"15","Text","友引 ",196.3,109.5,6.00000000000006,3,"六曜"
"15","Text","先勝 ",196.3,77.5,6.00000000000006,3,"六曜"
"15","Text","赤口 ",196.3,45.5,6.00000000000006,3,"六曜"
"15","Text","仏滅 ",196.300000000125,13.5,6,3,"六曜"
"15","Text","友引 ",161.299999999958,141.5,6,3,"六曜"
"15","Text","先勝 ",161.299999999958,109.5,6,3,"六曜"
"15","Text","赤口 ",161.299999999958,77.5,6,3,"六曜"
"15","Text","仏滅 ",161.299999999958,45.5,6,3,"六曜"
"15","Text"," ",161.3,13.5013888888881,6,3,"六曜"
"14","Text","先勝 ",122.3,141.5,6.00000000000003,3,"六曜"
"14","Text","赤口 ",122.3,109.5,6.00000000000003,3,"六曜"
"14","Text","大安 ",122.3,77.5,6.00000000000003,3,"六曜"
"14","Text","先負 ",122.3,45.5,6.00000000000003,3,"六曜"
"14","Text"," ",122.3,13.5,6,3,"六曜"
"14","Text","",87.2999999999792,173.499999999968,6.00000000000003,3,""
"14","Text","赤口 ",87.2999999999792,141.5,6.00000000000003,3,"六曜"
"14","Text","大安 ",87.2999999999792,109.5,6.00000000000003,3,"六曜"
"14","Text","仏滅 ",87.2999999999791,77.5,6.00000000000001,3,"六曜"
"14","Text","友引 ",87.2999999999793,45.5,6.00000000000001,3,"六曜"
"14","Text"," ",87.3,13.5,6,3,"六曜"
"14","Text"," ",52.3002137513047,13.5013888888882,5.99999999999999,3,"六曜"
"14","Text","",58.3,173.789999999936,16,2.11666666666665,""
"14","Text","きのえ  たつ ",58.3,141.789999999968,16,2.1166666666667,"日干支"
"14","Text","ひのと  とり ",58.3,109.789999999968,16,2.11666666666666,"日干支"
"14","Text","かのえ  とら ",58.3,77.7899999999681,16,2.11666666666666,"日干支"
"14","Text","みずのと  ひつじ ",58.5,45.789999999968,16,2.11666666666666,"日干支"
"15","Text","かのえ  いぬ ",272.299999999917,141.789999999968,16,2.1166666666667,"日干支"
"15","Text","みずのと  う ",272.299999999917,109.789999999968,16,2.11666666666666,"日干支"
"15","Text","ひのえ  さる ",272.299999999917,77.7899999999681,16,2.11666666666666,"日干支"
"15","Text","つちのと  うし ",272.299999999917,45.789999999968,16,2.11666666666666,"日干支"
"15","Text","みずのえ  うま ",272.300000000167,13.7913888888562,16.0000000000001,2.11666666666667,"日干支"
"15","Text","つちのと  とり ",237.299999999917,141.789999999968,16,2.1166666666667,"日干支"
"15","Text","みずのえ  とら ",237.299999999917,109.789999999968,16,2.11666666666666,"日干支"
"15","Text","きのと  ひつじ ",237.165,77.7899999999681,15.9999999999999,2.11666666666666,"日干支"
"15","Text","つちのえ  ね ",237.299999999917,45.789999999968,16,2.11666666666666,"日干支"
"15","Text","かのと  み ",237.300000000083,13.7899999999681,16,2.11666666666667,"日干支"
"15","Text","つちのえ  さる ",202.3,141.789999999968,16,2.1166666666667,"日干支"
"15","Text","かのと  うし ",202.3,109.789999999968,16,2.11666666666666,"日干支"
"15","Text","きのえ  うま ",202.3,77.7899999999681,16,2.11666666666666,"日干支"
"15","Text","ひのと  い ",202.3,45.789999999968,16,2.11666666666666,"日干支"
"15","Text","かのえ  たつ ",202.300000000125,13.7899999999681,16,2.11666666666667,"日干支"
"15","Text","ひのと  ひつじ ",167.299999999958,141.789999999968,16,2.1166666666667,"日干支"
"15","Text","かのえ  ね ",167.299999999958,109.789999999968,16,2.11666666666666,"日干支"
"15","Text","みずのと  み ",167.299999999958,77.7899999999681,16,2.11666666666666,"日干支"
"15","Text","ひのえ  いぬ ",167.299999999958,45.789999999968,16,2.11666666666666,"日干支"
"15","Text"," ",167.3,13.7913888888562,16,2.11666666666667,"日干支"
"14","Text","ひのえ  うま ",128.3,141.789999999968,16,2.1166666666667,"日干支"
"14","Text","つちのと  い ",128.3,109.789999999968,16,2.11666666666666,"日干支"
"14","Text","みずのえ  たつ ",128.3,77.7899999999681,16,2.11666666666666,"日干支"
"14","Text","きのと  とり ",128.285393124285,45.7499999999361,16,2.11666666666667,"日干支"
"14","Text"," ",128.3,13.7899999999681,16,2.11666666666667,"日干支"
"14","Text","",93.2999999999792,173.789999999936,16,2.11666666666665,""
